update,wall_time,total_env_steps,avg_reward,avg_ep_length,kill_rate,win_rate,elo,policy_loss,value_loss,entropy,lr,fps
900,660.9,44236800,1.5500,113.4,0.9500,0.5900,1784.0,-0.012278,6.144649,1.582242,2.460600e-04,62606
910,668.3,44728320,9.0000,85.7,0.9600,0.9600,1731.5,-0.008787,2.112668,1.592121,2.454600e-04,72214
920,675.6,45219840,2.3500,122.5,0.9500,0.6300,1771.2,-0.013954,5.310813,1.559415,2.448600e-04,67018
930,683.1,45711360,-2.9500,114.1,0.9700,0.3600,1674.4,-0.014119,5.733073,1.574535,2.442600e-04,64973
940,690.4,46202880,2.8500,107.8,0.9700,0.6500,1744.8,-0.013110,5.063655,1.577033,2.436600e-04,63391
950,697.9,46694400,-0.1000,116.7,0.9200,0.5100,1775.5,-0.013274,6.195362,1.522289,2.430600e-04,64840
960,705.4,47185920,-1.2500,112.3,0.9700,0.4400,1766.7,-0.012371,5.907305,1.540298,2.424600e-04,64910
970,712.9,47677440,0.2500,151.6,0.8900,0.5400,1717.2,-0.013214,4.288976,1.537068,2.418600e-04,65895
980,720.2,48168960,1.9000,106.7,0.9500,0.6000,1776.9,-0.013221,4.150164,1.591706,2.412600e-04,64508
990,727.6,48660480,-0.1500,112.7,0.9200,0.5100,1797.2,-0.012240,6.283141,1.592130,2.406600e-04,63891
1000,734.9,49152000,8.7500,99.4,0.9500,0.9500,1755.7,-0.009852,2.610808,1.606617,2.400600e-04,73244
1010,742.2,49643520,2.1500,118.9,0.9100,0.6300,1787.6,-0.012232,5.528155,1.532765,2.394600e-04,67543
1020,749.6,50135040,0.3000,124.7,0.9400,0.5300,1747.7,-0.013865,4.937622,1.551747,2.388600e-04,64720
1030,757.3,50626560,2.3000,100.7,0.9800,0.6200,1753.7,-0.014310,5.255477,1.529163,2.382600e-04,64337
1040,764.6,51118080,3.4000,116.4,0.9400,0.6800,1792.5,-0.014832,5.297530,1.554579,2.376600e-04,65751
1050,772.1,51609600,-0.9000,116.2,0.9400,0.4700,1738.2,-0.013911,5.296540,1.584051,2.370600e-04,63569
1060,779.6,52101120,-0.4000,127.6,0.9000,0.5000,1744.7,-0.013370,6.017687,1.553625,2.364600e-04,65991
1070,786.9,52592640,0.0000,108.0,0.9400,0.5100,1751.1,-0.013078,6.357709,1.561552,2.358600e-04,65355
1080,794.3,53084160,-0.6000,96.5,0.9800,0.4700,1807.3,-0.013942,6.957923,1.557652,2.352600e-04,64441
1090,801.8,53575680,9.7500,86.6,0.9900,0.9900,1815.6,-0.010906,1.159800,1.651805,2.346600e-04,71804
1100,809.3,54067200,-0.3500,99.2,0.9700,0.4900,1836.9,-0.014395,5.731438,1.524417,2.340600e-04,63272
1110,816.8,54558720,-0.4500,112.8,0.9900,0.4800,1781.5,-0.015302,5.984073,1.529349,2.334600e-04,66333
1120,824.2,55050240,-1.7000,156.9,0.8900,0.4400,1813.2,-0.014546,4.495254,1.516476,2.328600e-04,66673
1130,831.7,55541760,2.3000,97.5,0.9700,0.6200,1860.1,-0.012879,5.700848,1.552763,2.322600e-04,63067
1140,839.4,56033280,0.5000,116.8,0.9300,0.5400,1742.7,-0.013669,6.753867,1.549916,2.316600e-04,65030
1150,846.9,56524800,0.8000,109.9,0.9900,0.5400,1764.6,-0.014090,6.367362,1.507466,2.310600e-04,62764
1160,854.1,57016320,9.7500,83.0,0.9900,0.9900,1814.0,-0.012052,1.645367,1.552958,2.304600e-04,72327
1170,861.5,57507840,0.1000,140.4,0.9300,0.5200,1789.8,-0.012767,4.885679,1.528520,2.298600e-04,66831
1180,868.8,57999360,0.6000,119.1,0.9600,0.5400,1835.4,-0.014851,4.930707,1.535180,2.292600e-04,66473
1190,876.2,58490880,0.9000,123.5,0.9700,0.5500,1796.9,-0.014643,5.164934,1.541488,2.286600e-04,63947
1200,883.6,58982400,8.5000,97.3,0.9400,0.9400,1674.1,-0.011754,2.254952,1.584590,2.280600e-04,72630
1210,890.9,59473920,-0.6500,123.9,0.9300,0.4800,1740.5,-0.012798,5.958791,1.543873,2.274600e-04,66076
1220,898.2,59965440,10.0000,73.1,1.0000,1.0000,1836.7,-0.011476,2.423104,1.577489,2.268600e-04,72399
1230,905.6,60456960,-1.9000,122.1,0.9400,0.4200,1829.7,-0.013806,5.063469,1.508869,2.262600e-04,66342
1240,913.0,60948480,-1.6500,139.4,0.9300,0.4300,1766.7,-0.015968,4.413736,1.540921,2.256600e-04,65688
1250,920.6,61440000,2.4000,110.6,0.9900,0.6200,1882.6,-0.013526,4.929571,1.530604,2.250600e-04,62357
1260,928.1,61931520,-0.2500,117.9,0.9800,0.4900,1857.3,-0.013195,6.295535,1.524778,2.244600e-04,66625
1270,935.4,62423040,-3.8000,139.0,0.9000,0.3300,1760.9,-0.013401,5.391071,1.526563,2.238600e-04,65873
1280,942.8,62914560,3.3000,113.5,0.9800,0.6700,1778.1,-0.014556,4.041263,1.568475,2.232600e-04,64060
1290,950.2,63406080,-1.0500,110.8,0.9300,0.4600,1822.4,-0.013777,5.984913,1.484854,2.226600e-04,66131
1300,957.6,63897600,-0.1500,131.8,0.9600,0.5000,1914.2,-0.013615,5.326915,1.521113,2.220600e-04,64741
1310,965.1,64389120,0.2000,142.1,0.9600,0.5200,1876.3,-0.013747,4.809361,1.562430,2.214600e-04,66161
1320,972.5,64880640,2.1000,133.3,0.9200,0.6200,1887.2,-0.014513,5.179038,1.530668,2.208600e-04,66635
1330,979.9,65372160,3.2000,128.6,0.9200,0.6800,1818.9,-0.013845,5.503901,1.531308,2.202600e-04,62991
1340,987.1,65863680,0.6000,129.8,0.9500,0.5400,1779.5,-0.014507,5.397083,1.558324,2.196600e-04,67850
1350,994.6,66355200,0.6500,150.5,0.9100,0.5500,1817.6,-0.014972,3.853830,1.541146,2.190600e-04,67551
1360,1001.8,66846720,-2.4000,145.6,0.8700,0.4100,1891.9,-0.014424,4.628568,1.574427,2.184600e-04,66358
1370,1009.1,67338240,-0.6500,121.4,0.9500,0.4800,1871.6,-0.012987,5.766852,1.516587,2.178600e-04,67989
1380,1016.5,67829760,-2.2500,157.1,0.8900,0.4100,1811.2,-0.014096,4.218724,1.560898,2.172600e-04,67072
1390,1023.8,68321280,9.2500,71.7,0.9700,0.9700,1794.8,-0.011200,2.385994,1.569837,2.166600e-04,72227
1400,1031.3,68812800,2.0000,120.3,1.0000,0.6000,1795.3,-0.014671,5.697321,1.568596,2.160600e-04,65321
1410,1038.6,69304320,9.7500,87.8,0.9900,0.9900,1846.7,-0.011404,2.844312,1.601380,2.154600e-04,71492
1420,1046.0,69795840,-0.2500,128.5,0.9400,0.4900,1860.5,-0.013322,6.236504,1.548476,2.148600e-04,63576
1430,1053.6,70287360,-2.7000,127.2,0.9400,0.3800,1704.3,-0.015301,4.828042,1.529674,2.142600e-04,63428
1440,1060.9,70778880,-1.0000,155.4,0.9000,0.4700,1870.8,-0.014527,4.773354,1.526794,2.136600e-04,68397
1450,1068.2,71270400,9.2500,92.4,0.9700,0.9700,1845.5,-0.010400,2.891375,1.575422,2.130600e-04,72836
1460,1075.5,71761920,-0.8000,123.5,0.9400,0.4700,1852.6,-0.013363,5.314701,1.554621,2.124600e-04,67323
1470,1083.0,72253440,-1.6000,124.6,0.9400,0.4300,1787.2,-0.013895,5.197142,1.504678,2.118600e-04,66285
1480,1090.4,72744960,4.0000,117.6,0.9600,0.7100,1946.1,-0.012546,6.410658,1.489460,2.112600e-04,64811
1490,1097.9,73236480,-0.1000,126.8,0.9500,0.5000,1863.8,-0.013947,5.844727,1.524227,2.106600e-04,65820
1500,1105.3,73728000,0.8000,128.7,1.0000,0.5400,1861.7,-0.014083,5.240082,1.552585,2.100600e-04,66382
1510,1112.6,74219520,-1.4500,153.7,0.9100,0.4400,1789.6,-0.013258,4.443191,1.538340,2.094600e-04,67661
1520,1119.8,74711040,1.8000,96.2,0.9900,0.5900,1788.6,-0.014694,7.613979,1.508695,2.088600e-04,65425
1530,1127.3,75202560,2.3500,124.2,0.9900,0.6200,1899.8,-0.013169,5.289779,1.495078,2.082600e-04,66488
1540,1134.6,75694080,-0.3500,137.0,0.9600,0.4900,1880.0,-0.015831,4.670297,1.521284,2.076600e-04,66339
1550,1141.8,76185600,2.2500,121.6,0.9600,0.6200,1832.6,-0.014114,5.400678,1.527828,2.070600e-04,64872
1560,1149.2,76677120,-0.1000,107.0,0.9800,0.5000,1845.9,-0.012340,6.887268,1.527736,2.064600e-04,63732
1570,1156.7,77168640,8.5000,88.8,0.9400,0.9400,1890.4,-0.012059,3.216812,1.567187,2.058600e-04,71919
1580,1164.0,77660160,0.2000,147.4,0.8400,0.5500,1874.2,-0.014986,4.311525,1.586802,2.052600e-04,63061
1590,1171.7,78151680,1.3500,139.6,0.9500,0.5800,1882.5,-0.014665,4.205534,1.518378,2.046600e-04,62494
1600,1179.0,78643200,0.9500,128.8,0.9400,0.5600,1906.1,-0.014856,6.065893,1.515677,2.040600e-04,67004
1610,1186.3,79134720,1.4500,141.2,0.9500,0.5800,1891.0,-0.013807,5.084539,1.544508,2.034600e-04,66043
1620,1193.7,79626240,-2.1500,150.7,0.9400,0.4000,1798.0,-0.013736,4.737033,1.524671,2.028600e-04,66536
1630,1201.0,80117760,-2.3500,160.6,0.9300,0.4000,1815.7,-0.014214,5.448917,1.541513,2.022600e-04,66336
1640,1208.3,80609280,-1.8000,146.1,0.9200,0.4300,1814.1,-0.013020,5.396486,1.543853,2.016600e-04,69108
1650,1215.7,81100800,-1.1000,139.4,0.9300,0.4600,1743.6,-0.012644,6.047143,1.539865,2.010600e-04,64237
1660,1223.0,81592320,-1.1000,136.7,0.9700,0.4500,1749.8,-0.013272,6.041546,1.554008,2.004600e-04,65007
1670,1230.4,82083840,-2.9000,170.1,0.9200,0.3700,1722.4,-0.014114,4.242466,1.559497,1.998600e-04,67603
1680,1237.6,82575360,9.5000,83.5,0.9800,0.9800,1868.5,-0.008549,1.563391,1.597325,1.992600e-04,72926
1690,1244.8,83066880,8.5000,104.0,0.9400,0.9400,1792.4,-0.011435,2.680544,1.612209,1.986600e-04,73181
1700,1252.1,83558400,-1.2000,185.2,0.8500,0.4700,1887.8,-0.013361,3.799725,1.555716,1.980600e-04,67405
1710,1259.5,84049920,-2.9500,160.8,0.8800,0.3800,1826.5,-0.013493,4.705356,1.550948,1.974600e-04,65899
1720,1266.9,84541440,0.2000,148.3,0.8800,0.5400,1804.5,-0.013671,5.071854,1.518460,1.968600e-04,65882
1730,1274.2,85032960,10.0000,75.1,1.0000,1.0000,1850.0,-0.009751,2.296407,1.572040,1.962600e-04,73458
1740,1281.6,85524480,2.0500,140.8,0.9600,0.6100,1883.1,-0.015031,4.762460,1.533371,1.956600e-04,66057
1750,1288.9,86016000,-2.3500,186.1,0.8300,0.4200,1933.2,-0.013822,4.229063,1.573481,1.950600e-04,67066
1760,1296.3,86507520,0.7000,139.3,0.9700,0.5400,1854.5,-0.013523,6.191441,1.511345,1.944600e-04,66338
1770,1303.7,86999040,-0.6000,129.7,0.9400,0.4800,1815.0,-0.013479,5.137575,1.506687,1.938600e-04,65706
1780,1311.1,87490560,-1.1000,125.1,0.9200,0.4600,1786.2,-0.013141,5.586622,1.593714,1.932600e-04,64425
1790,1318.7,87982080,0.5500,147.4,0.9400,0.5400,1805.4,-0.015694,4.660195,1.513128,1.926600e-04,61624
1800,1326.3,88473600,0.3500,147.7,0.9800,0.5200,1853.7,-0.013867,4.322440,1.518416,1.920600e-04,64561
1810,1333.8,88965120,-0.1000,133.5,0.9800,0.5000,1874.6,-0.012712,6.488577,1.550889,1.914600e-04,63971
1820,1341.3,89456640,0.1500,134.3,0.9500,0.5200,1899.5,-0.014394,5.676237,1.518496,1.908600e-04,67918
1830,1348.5,89948160,0.1000,130.8,0.8900,0.5300,1902.4,-0.011523,6.429286,1.549927,1.902600e-04,67117
1840,1355.7,90439680,-0.3500,121.8,0.9700,0.4900,1818.6,-0.013966,5.700430,1.540821,1.896600e-04,66756
1850,1363.0,90931200,1.0000,127.7,0.9500,0.5600,1871.7,-0.013179,6.007166,1.560784,1.890600e-04,65414
1860,1370.4,91422720,0.1500,118.5,0.9400,0.5100,1825.8,-0.014773,6.523941,1.541976,1.884600e-04,64545
1870,1377.8,91914240,-1.8500,142.1,0.8700,0.4300,1785.0,-0.013508,5.757531,1.529315,1.878600e-04,66756
1880,1385.1,92405760,0.3500,146.8,0.9300,0.5300,1887.9,-0.013664,6.126866,1.530604,1.872600e-04,66920
1890,1392.7,92897280,2.5500,127.8,0.9900,0.6300,1929.2,-0.015048,4.664613,1.549504,1.866600e-04,61634
1900,1400.2,93388800,-1.2500,149.2,0.9100,0.4500,2003.1,-0.013751,6.184301,1.542346,1.860600e-04,66900
1910,1407.5,93880320,2.8000,126.5,0.9500,0.6500,1961.5,-0.013129,6.364273,1.511732,1.854600e-04,65712
1920,1414.8,94371840,-1.1000,135.5,0.8900,0.4600,1927.3,-0.014621,5.326469,1.545573,1.848600e-04,66408
